timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z
1721017586.72,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1721017586.73,0,0,0,0,0.0000,0.0000,0.0000,0.0625,0.0000,0.0000
1721017586.74,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.2500,-0.0625
1721017586.75,0,0,0,0,0.0000,0.0000,0.0000,-0.0625,0.0000,0.0625
1721017586.76,0,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.7500,0.1250
1721017586.77,0,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.1875,0.0625
1721017586.78,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.3750,0.0000
1721017586.79,0,0,0,0,-0.7700,-2.3500,-0.4500,0.0000,-0.1250,0.0625
1721017586.79,0,0,0,0,-0.7400,-2.3600,-0.4600,0.0000,-0.5625,0.0000
1721017586.81,0,0,0,0,-0.7600,-2.3400,-0.4700,-0.0625,0.0000,0.0000
1721017586.82,0,0,0,0,-0.7700,-2.3600,-0.4600,0.0000,0.3750,0.1250
1721017586.83,0,0,0,0,-0.7700,-2.3800,-0.4700,0.0000,-0.2500,0.0000
1721017586.84,0,0,0,0,0.0200,0.0500,-0.1900,0.0625,-0.6250,0.0000
1721017586.85,0,0,0,0,0.0100,0.0300,-0.1200,0.0000,0.2500,0.0000
1721017586.86,0,0,0,0,0.0000,0.0300,-0.1200,0.0000,-0.3125,0.0000
1721017586.87,0,0,0,0,0.0100,0.0500,-0.1700,0.0000,-0.3750,0.0625
1721017586.87,0,0,0,0,0.0000,0.0400,-0.1200,0.0000,0.1875,-0.0625
1721017586.89,0,0,0,0,0.0000,0.0500,-0.1000,0.0000,0.3125,-0.0625
1721017586.90,0,0,0,0,0.0100,0.0400,-0.1400,0.0000,-0.5625,0.0000
1721017586.91,0,0,0,0,0.0100,0.0300,-0.1500,0.0000,-0.1875,0.0000
1721017586.92,0,0,0,0,0.0000,0.0400,-0.1100,-0.0625,0.3750,0.0000
1721017586.93,0,0,0,0,-0.0100,0.0400,-0.1600,0.0000,-0.1875,0.0625
1721017586.94,0,0,0,0,0.0200,0.0500,-0.1400,0.0000,-0.6250,0.1250
1721017586.95,0,0,0,0,0.0200,0.0400,-0.1500,-0.0625,0.0000,0.0625
1721017586.96,0,0,0,0,0.0000,0.0300,-0.1800,-0.1250,0.2500,0.0000
1721017586.97,0,0,0,0,0.0100,0.0300,-0.1400,0.0000,-0.6250,0.0000
1721017586.98,0,0,0,0,0.0200,0.0700,-0.1200,0.1250,-0.3750,0.0000
1721017586.99,0,0,0,0,0.0000,0.0500,-0.1400,0.0000,0.1250,0.0625
1721017587.00,0,0,0,0,0.0000,0.0500,-0.1500,-0.1250,0.2500,0.0000
1721017587.01,0,0,0,0,0.0000,0.0300,-0.1400,0.0000,-0.4375,0.0000
1721017587.02,0,0,0,0,0.0100,0.0500,-0.1200,0.0000,-0.3125,0.0000
1721017587.03,0,0,0,0,0.0000,0.0400,-0.1400,0.0000,0.1250,0.0000
1721017587.04,0,0,0,0,-0.0100,0.0600,-0.1400,0.0000,0.0000,0.0625
1721017587.04,0,0,0,0,0.0000,0.0500,-0.1300,0.0000,-0.5000,0.0625
1721017587.06,0,0,0,0,0.0000,0.0500,-0.1200,0.0000,-0.1875,0.1250
1721017587.07,0,0,0,0,0.0000,0.0500,-0.1500,-0.1250,0.3750,0.0625
1721017587.08,0,0,0,0,0.0000,0.0700,-0.1700,0.0000,-0.0625,0.0625
1721017587.09,0,0,0,0,0.0200,0.0500,-0.0900,0.0000,-0.5625,0.0625
1721017587.10,0,0,0,0,0.0100,0.0700,-0.1400,0.0000,-0.3750,0.0000
1721017587.11,0,0,0,0,0.0000,0.0600,-0.1500,-0.0625,0.4375,0.0000
1721017587.12,0,0,0,0,-0.0100,0.0500,-0.1300,-0.0625,0.0625,0.0625
1721017587.12,0,0,0,0,0.0300,0.0800,-0.1300,0.0625,-0.7500,0.0000
1721017587.14,0,0,0,0,0.0100,0.0600,-0.1500,0.0000,-0.0625,0.0625
1721017587.15,0,0,0,0,0.0100,0.0500,-0.1400,-0.1250,0.1250,0.0000
1721017587.16,0,0,0,0,0.0100,0.0700,-0.1200,0.0000,-0.3750,0.0000
1721017587.17,0,0,0,0,0.0200,0.0400,-0.1100,0.0000,-0.4375,0.0625
1721017587.18,0,0,0,0,0.0100,0.0400,-0.1400,0.0000,0.2500,0.0000
1721017587.19,0,0,0,0,0.0100,0.0400,-0.1200,-0.0625,0.0000,0.0000
1721017587.20,0,0,0,0,0.0200,0.0700,-0.1500,0.0000,-0.5625,0.0625
1721017587.21,0,0,0,0,0.0200,0.0600,-0.1400,-0.1250,-0.1875,0.0625
1721017587.22,0,0,0,0,0.0000,0.0500,-0.1400,-0.1250,0.3750,0.0000
1721017587.23,0,0,0,0,0.0000,0.0700,-0.1400,0.0000,-0.0625,0.0625
1721017587.24,0,0,0,0,0.0100,0.0500,-0.1400,0.0000,-0.5000,0.0625
1721017587.25,0,0,0,0,0.0100,0.0700,-0.1400,0.0000,0.0000,0.2500
1721017587.26,0,0,0,0,0.0000,0.0400,-0.1400,0.0000,0.1250,0.0000
1721017587.27,0,0,0,0,0.0300,0.0600,-0.1300,0.0000,-0.2500,0.0625
1721017587.28,0,0,0,0,0.0000,0.0600,-0.1300,0.0000,-0.1250,-0.0625
1721017587.29,0,0,0,0,0.0100,0.0600,-0.1300,0.0000,0.1250,0.0000
1721017587.30,0,0,0,0,0.0000,0.0400,-0.1400,0.0625,0.0000,0.0000
1721017587.31,0,0,0,0,0.0100,0.0500,-0.1300,0.0000,-0.1875,0.0000
1721017587.32,0,0,0,0,-0.0100,0.0500,-0.1500,0.0000,-0.0625,0.0000
1721017587.33,0,0,0,0,0.0000,0.0500,-0.1000,0.0000,0.0000,0.0625
1721017587.34,0,0,0,0,0.0000,0.0400,-0.1300,0.0000,-0.1875,0.0000
1721017587.35,0,0,0,0,0.0000,0.0600,-0.1300,-0.0625,0.0000,0.0625
1721017587.36,0,0,0,0,0.0000,0.0600,-0.1400,0.0000,0.0000,0.0000
1721017587.37,0,0,0,0,0.0200,0.0500,-0.1400,0.0000,-0.1250,0.0000
1721017587.38,0,0,0,0,0.0000,0.0500,-0.1300,-0.0625,-0.2500,0.0625
1721017587.39,0,0,0,0,0.0000,0.0400,-0.1200,0.0000,-0.2500,0.0625
1721017587.40,0,0,0,0,0.0100,0.0500,-0.1500,0.0625,0.0000,0.0000
1721017587.41,0,0,0,0,0.0000,0.0500,-0.1200,0.0000,-0.2500,0.0000
1721017587.42,0,0,0,0,0.0000,0.0600,-0.1200,0.1250,-0.3125,0.0000
1721017587.43,0,0,0,0,0.0100,0.0700,-0.1400,0.0000,-0.2500,0.0000
1721017587.44,0,0,0,0,0.0000,0.0600,-0.1300,0.0000,0.1250,0.0000
1721017587.45,0,0,0,0,0.0100,0.0700,-0.1500,0.0000,0.0000,0.0625
1721017587.46,0,0,0,0,0.0000,0.0500,-0.1500,-0.1250,0.0000,0.1250
1721017587.47,0,0,0,0,0.0000,0.0400,-0.1100,0.0000,0.0000,0.0000
1721017587.48,0,0,0,0,0.0000,0.0400,-0.1000,0.0000,-0.1250,0.0625
1721017587.49,0,0,0,0,-0.0100,0.0600,-0.1500,0.0000,-0.1875,0.0625
1721017587.50,0,0,0,0,0.0000,0.0500,-0.1500,0.0625,0.1250,0.0000
1721017587.51,0,0,0,0,0.0000,0.0400,-0.1300,0.0000,-0.5000,0.1250
1721017587.52,0,0,0,0,0.0000,0.0500,-0.1400,0.0625,-0.3750,0.0000
1721017587.53,0,0,0,0,0.0000,0.0600,-0.1400,0.0000,0.1250,0.0000
1721017587.54,0,0,0,0,0.0000,0.0500,-0.1100,0.0000,0.0000,0.0000
1721017587.55,0,0,0,0,0.0000,0.0600,-0.1200,0.0000,-0.4375,0.0625
1721017587.56,0,0,0,0,0.0100,0.0500,-0.1500,0.1250,-0.1250,0.0625
1721017587.57,0,0,0,0,0.0000,0.0600,-0.1200,-0.0625,0.0625,0.0000
1721017587.58,0,0,0,0,0.0000,0.0500,-0.1200,0.0000,-0.1250,0.0000
1721017587.59,0,0,0,0,0.0200,0.0500,-0.1300,0.0000,-0.3125,0.1250
1721017587.60,0,0,0,0,0.0000,0.0600,-0.1400,0.0000,-0.1875,0.1250
1721017587.61,0,0,0,0,0.0000,0.0500,-0.1600,-0.0625,-0.1875,0.0000
1721017587.62,0,1,0,0,0.0100,0.0600,-0.1100,0.0000,0.0000,0.0000
1721017587.63,0,1,0,0,0.0100,0.0600,-0.1100,0.0000,-0.1875,0.0000
1721017587.64,0,1,0,0,-0.0100,0.0600,-0.1200,0.0000,0.0000,0.0625
1721017587.65,0,1,0,0,0.0000,0.0600,-0.1600,0.0000,0.0000,0.0000
1721017587.66,0,1,0,0,0.0200,0.0600,-0.1100,0.0000,-0.0625,0.0625
1721017587.67,0,1,0,0,0.0200,0.0600,-0.1400,0.0000,-0.1875,0.0000
1721017587.68,0,1,0,0,0.0100,0.0700,-0.1300,-0.1250,0.0000,0.0000
1721017587.69,0,1,0,0,0.0100,0.0600,-0.1300,0.0000,-0.1250,0.1250
1721017587.70,0,1,0,0,-0.0100,0.0600,-0.1300,0.0000,-0.3125,0.0000
1721017587.71,0,1,0,0,0.0000,0.0700,-0.1100,0.0000,-0.2500,0.0625
1721017587.72,0,1,0,0,0.0100,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017587.73,0,1,0,0,0.0000,0.0600,-0.1100,0.0000,-0.1875,0.1250
1721017587.74,0,1,0,0,0.0000,0.0600,-0.1000,0.0000,-0.2500,0.0625
1721017587.75,0,1,0,0,0.0000,0.0400,-0.1300,0.0000,0.0625,0.0000
1721017587.76,0,1,0,0,0.0000,0.0500,-0.1400,-0.0625,0.0000,0.0000
1721017587.77,0,1,0,0,0.0000,0.0400,-0.1100,-0.1250,-0.3125,0.0625
1721017587.78,0,1,0,0,0.0000,0.0800,-0.1100,-0.0625,-0.0625,0.1250
1721017587.79,0,1,0,0,0.0000,0.0500,-0.1300,0.0000,-0.1250,0.0000
1721017587.80,0,1,0,0,0.0000,0.0600,-0.1300,-0.0625,-0.1875,0.0000
1721017587.81,0,1,0,0,0.0100,0.0800,-0.1300,0.0000,-0.3125,0.1250
1721017587.82,0,1,0,0,0.0200,0.0700,-0.1400,0.0625,-0.1875,0.0000
1721017587.83,0,1,0,0,0.0000,0.0700,-0.1300,0.1250,0.0000,0.0000
1721017587.84,0,1,0,0,0.0000,0.0700,-0.1400,-0.1250,0.0000,0.0000
1721017587.85,0,1,0,0,0.0000,0.0500,-0.1300,0.0000,-0.2500,0.0000
1721017587.86,0,1,0,0,0.0000,0.0700,-0.1400,-0.1250,-0.2500,0.0000
1721017587.87,0,1,0,0,0.0000,0.0600,-0.1200,0.0000,0.2500,0.0625
1721017587.88,0,1,0,0,0.0200,0.0600,-0.1600,0.0000,0.0625,0.0625
1721017587.89,0,1,0,0,0.0100,0.0600,-0.1300,0.0000,-0.0625,0.0000
1721017587.90,0,1,0,0,-0.0100,0.0600,-0.1400,0.0000,-0.0625,0.0625
1721017587.91,0,1,0,0,0.0000,0.0400,-0.1100,0.0000,-0.1875,0.0000
1721017587.92,0,1,0,0,0.0000,0.0500,-0.1300,-0.0625,0.0000,0.0000
1721017587.93,0,1,1,0,0.0000,0.0600,-0.1200,0.0000,0.0000,0.0000
1721017587.94,0,1,1,0,0.0000,0.0600,-0.1400,0.0000,0.0000,0.0000
1721017587.95,0,1,1,0,0.0200,0.0600,-0.1300,0.1250,0.0625,0.0000
1721017587.96,0,1,1,0,0.0000,0.0800,-0.1200,0.0000,0.0000,0.0000
1721017587.97,0,1,1,0,0.0000,0.0800,-0.1100,0.0000,-0.0625,0.0000
1721017587.98,0,1,1,0,0.0000,0.0600,-0.1000,0.0000,0.0000,0.0000
1721017587.99,0,1,1,0,0.0000,0.0600,-0.1400,0.0000,0.0000,0.0000
1721017588.00,0,1,1,0,0.0200,0.0800,-0.1300,0.0000,0.0000,0.0000
1721017588.01,0,1,1,0,0.0000,0.0400,-0.1400,0.0625,0.1250,-0.0625
1721017588.02,0,1,1,0,0.0000,0.0600,-0.1200,0.0000,0.0625,0.0000
1721017588.03,0,1,1,0,0.0100,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017588.04,0,1,1,0,0.0100,0.0900,-0.1400,0.0000,0.0000,0.0625
1721017588.05,0,1,1,0,0.0000,0.0500,-0.1400,0.0000,0.0000,0.0000
1721017588.06,0,1,1,0,0.0000,0.0700,-0.1200,0.0000,-0.0625,0.0000
1721017588.07,0,1,1,0,0.0100,0.0700,-0.1400,0.0000,-0.0625,0.0000
1721017588.08,0,1,1,0,0.0100,0.0500,-0.1600,0.0625,0.0000,0.0000
1721017588.09,0,1,1,0,0.0000,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017588.10,0,1,1,0,0.0200,0.0500,-0.1300,0.0000,-0.0625,0.0000
1721017588.11,0,1,1,0,0.0100,0.0400,-0.1200,0.0000,0.0000,0.0000
1721017588.12,0,1,1,0,0.0100,0.0700,-0.1000,0.0000,0.1875,0.0000
1721017588.13,0,1,1,0,0.0000,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017588.14,0,1,1,0,0.0000,0.0500,-0.1400,0.0000,-0.1875,0.0000
1721017588.15,0,1,1,0,0.0000,0.0700,-0.1700,0.0000,-0.1250,0.0000
1721017588.16,0,1,1,0,0.0000,0.0600,-0.1200,0.0000,0.1250,0.0000
1721017588.17,0,1,1,0,0.0000,0.0700,-0.1300,0.0000,-0.0625,0.0000
1721017588.18,0,1,1,0,0.0200,0.0500,-0.1400,0.0625,-0.0625,0.0000
1721017588.19,0,1,1,0,0.0200,0.0500,-0.1400,0.0625,0.0000,0.0000
1721017588.20,0,1,1,0,0.0100,0.0600,-0.1400,0.1250,0.0000,0.0000
1721017588.21,0,1,1,0,0.0000,0.0400,-0.1300,0.0000,-0.1875,0.0000
1721017588.22,0,1,1,0,0.0000,0.0300,-0.1500,0.0625,-0.1250,0.0000
1721017588.23,0,1,1,0,0.0000,0.0700,-0.1400,0.0000,0.0000,0.0000
1721017588.24,0,1,1,0,0.0200,0.0600,-0.1000,0.0000,0.0000,0.0000
1721017588.25,0,1,1,0,0.0100,0.0700,-0.1300,0.0625,0.0000,0.0000
1721017588.26,0,1,1,0,0.0100,0.0400,-0.1200,0.0000,-0.0625,0.0000
1721017588.27,0,1,1,0,0.0100,0.0800,-0.1500,0.1250,-0.1875,0.0000
1721017588.28,0,1,1,0,0.0000,0.0400,-0.1100,0.0000,0.0000,0.0000
1721017588.29,0,1,1,0,0.0000,0.0600,-0.1200,0.0000,0.0000,0.0000
1721017588.30,0,1,1,0,0.0100,0.0600,-0.1000,0.0000,-0.1250,0.0000
1721017588.31,0,1,1,0,0.0000,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017588.32,0,1,1,0,0.0000,0.0700,-0.1600,0.0000,-0.1875,0.0000
1721017588.33,0,1,1,0,0.0100,0.0700,-0.1400,0.0000,0.0000,0.0000
1721017588.34,0,1,1,0,0.0100,0.0700,-0.1200,0.0625,0.0000,0.0625
1721017588.35,0,1,1,0,0.0000,0.0700,-0.1300,0.0000,0.0000,0.0000
1721017588.36,0,1,1,0,0.0300,0.0700,-0.1400,0.0000,0.0000,0.1250
1721017588.37,0,1,1,0,0.0100,0.0600,-0.1300,0.0625,0.0000,0.0000
1721017588.38,0,1,1,0,0.0000,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017588.39,0,1,1,0,0.0000,0.0700,-0.1300,0.0000,0.0000,0.0625
1721017588.40,0,1,1,0,0.0000,0.0700,-0.1400,0.0000,0.0000,-0.0625
1721017588.41,0,1,1,0,0.0000,0.0700,-0.1400,0.1250,0.0000,0.0000
1721017588.42,0,1,1,0,0.0100,0.0600,-0.1300,0.1250,0.0000,-0.0625
1721017588.43,0,1,2,0,0.0000,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017588.44,0,1,2,0,0.0000,0.0600,-0.1200,0.0625,0.0000,0.0000
1721017588.45,0,1,2,0,0.0000,0.0400,-0.1500,0.0000,0.1250,0.0000
1721017588.46,0,1,2,0,0.0200,0.0500,-0.1400,0.0000,0.0000,0.0000
1721017588.47,0,1,2,0,0.0100,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017588.48,0,1,2,0,0.0000,0.0600,-0.1400,0.0000,-0.0625,0.0000
1721017588.49,0,1,2,0,0.0300,0.0500,-0.1200,0.0000,0.0625,0.0000
1721017588.50,0,1,2,0,0.0000,0.0400,-0.1300,0.0000,0.0000,0.0000
1721017588.51,0,1,2,0,-0.0100,0.0800,-0.1000,0.0000,-0.1250,0.0000
1721017588.52,0,1,2,0,0.0000,0.0700,-0.1400,0.0000,0.0000,0.0000
1721017588.53,0,1,2,0,0.0200,0.0600,-0.1100,0.0000,0.0000,0.0000
1721017588.54,0,1,2,0,0.0000,0.0600,-0.1000,0.0000,0.0000,0.0000
1721017588.55,0,1,2,0,0.0000,0.0600,-0.1200,0.0000,0.1875,0.0000
1721017588.56,0,1,2,0,0.0000,0.0500,-0.1500,0.0000,0.0625,0.0000
1721017588.57,0,1,2,0,0.0000,0.0500,-0.1300,0.0000,-0.0625,0.0000
1721017588.58,0,1,2,0,0.0100,0.0700,-0.1200,0.0000,0.0000,0.0000
1721017588.59,0,1,2,0,0.0000,0.0500,-0.1300,0.0625,-0.0625,-0.0625
1721017588.60,0,1,2,0,0.0100,0.0600,-0.1600,0.0000,0.0000,0.0000
1721017588.61,0,1,2,0,0.0100,0.0500,-0.1200,0.0000,-0.1875,0.0000
1721017588.62,0,1,2,0,0.0000,0.0600,-0.1300,0.1875,-0.0625,0.0000
1721017588.63,0,1,2,0,0.0100,0.0600,-0.1200,0.0000,0.0000,0.0000
1721017588.64,0,1,2,0,0.0000,0.0400,-0.1300,0.0000,-0.3125,0.0000
1721017588.65,0,1,2,0,0.0100,0.0500,-0.1300,0.0000,-0.0625,0.0000
1721017588.66,0,1,2,0,0.0000,0.0700,-0.1300,0.0000,0.1250,-0.0625
1721017588.67,0,1,2,0,0.0000,0.0400,-0.1000,0.0000,0.0000,0.0000
1721017588.68,0,1,2,0,0.0100,0.0600,-0.1100,0.0625,0.0625,0.0000
1721017588.69,0,1,2,0,0.0100,0.0600,-0.1300,0.0000,0.1875,0.0000
1721017588.70,0,1,2,0,0.0000,0.0400,-0.1500,0.0000,0.0000,0.0000
1721017588.71,0,1,2,0,0.0000,0.0600,-0.1500,0.0000,0.0000,0.0000
1721017588.72,0,1,2,0,0.0000,0.0600,-0.1100,0.0000,0.0000,0.0000
1721017588.73,0,1,2,0,0.0100,0.0500,-0.1300,-0.0625,-0.1250,0.0000
1721017588.74,0,1,2,0,0.0000,0.0400,-0.1200,0.0000,0.0000,0.0000
1721017588.75,0,1,2,0,0.0100,0.0600,-0.1300,0.0000,0.0000,-0.1250
1721017588.76,0,1,2,0,0.0200,0.0600,-0.1200,0.0000,0.1250,0.0000
1721017588.77,0,1,2,0,0.0000,0.0500,-0.1200,-0.0625,0.0000,0.0000
1721017588.78,0,1,2,0,0.0000,0.0600,-0.1200,0.0000,0.0625,0.0000
1721017588.79,0,1,2,0,0.0100,0.0600,-0.1000,0.0000,0.0000,0.0000
1721017588.80,0,1,2,0,0.0300,0.0700,-0.1200,0.0000,0.0000,0.0000
1721017588.81,0,1,2,0,0.0000,0.0600,-0.1100,0.0000,0.0000,0.0000
1721017588.82,0,1,2,0,0.0000,0.0600,-0.1100,0.0000,0.0625,0.0000
1721017588.83,0,1,2,0,0.0100,0.0500,-0.1000,0.0000,0.0000,0.0000
1721017588.84,0,1,2,0,0.0000,0.0500,-0.1300,0.0625,0.0000,0.0000
1721017588.85,0,1,2,0,0.0100,0.0600,-0.1400,0.1250,0.0000,-0.0625
1721017588.86,0,1,2,0,0.0100,0.0500,-0.1200,0.0625,-0.1250,0.0000
1721017588.87,0,1,2,0,0.0100,0.0700,-0.1200,0.0000,-0.1250,0.0000
1721017588.88,0,1,2,0,0.0000,0.0700,-0.1200,0.0625,-0.0625,0.0000
1721017588.89,0,1,2,0,0.0000,0.0600,-0.1100,0.0000,0.0625,0.0000
1721017588.90,0,1,2,0,0.0200,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017588.91,0,1,2,0,0.0000,0.0600,-0.1100,0.0000,0.0000,0.0625
1721017588.92,0,1,2,0,0.0000,0.0700,-0.1300,0.0000,0.0625,0.0000
1721017588.93,0,1,3,0,0.0000,0.0600,-0.1300,0.0000,0.0000,0.0625
1721017588.94,0,1,3,0,0.0000,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017588.95,0,1,3,0,0.0000,0.0600,-0.1500,0.0000,0.0000,0.0000
1721017588.96,0,1,3,0,0.0000,0.0500,-0.1400,0.0000,0.0625,0.0000
1721017588.97,0,1,3,0,0.0100,0.0700,-0.1200,0.0000,-0.0625,0.0000
1721017588.98,0,1,3,0,0.0200,0.0400,-0.1000,0.0625,-0.0625,0.0000
1721017588.99,0,1,3,0,0.0100,0.0400,-0.1300,0.0000,0.0000,0.0625
1721017589.00,0,1,3,0,0.0000,0.0500,-0.1300,0.0000,0.0625,0.0000
1721017589.01,0,1,3,0,0.0000,0.0700,-0.1400,0.0000,0.0000,0.1250
1721017589.02,0,1,3,0,0.0000,0.0400,-0.1300,0.0000,0.0000,0.0000
1721017589.03,0,1,3,0,0.0000,0.0600,-0.1100,0.0625,0.0000,0.0000
1721017589.04,0,1,3,0,0.0200,0.0400,-0.1500,0.0000,0.0625,0.0000
1721017589.05,0,1,3,0,0.0300,0.0500,-0.1300,0.0000,0.1875,0.0000
1721017589.06,0,1,3,0,0.0000,0.0700,-0.1200,0.0625,0.0000,0.0000
1721017589.07,0,1,3,0,0.0100,0.0700,-0.1300,0.0000,0.0000,0.0000
1721017589.08,0,1,3,0,0.0000,0.0500,-0.1100,0.0625,0.0000,0.0000
1721017589.09,0,1,3,0,0.0100,0.0400,-0.1500,0.0000,0.0000,0.0000
1721017589.10,0,1,3,0,0.0100,0.0600,-0.1200,-0.0625,0.1250,0.0000
1721017589.11,0,1,3,0,0.0000,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017589.12,0,1,3,0,0.0000,0.0700,-0.1300,0.0000,0.0625,0.0000
1721017589.13,0,1,3,0,0.0000,0.0700,-0.1100,0.0000,0.0000,0.0000
1721017589.14,0,1,3,0,0.0000,0.0600,-0.1100,0.0000,-0.1250,0.0000
1721017589.15,0,1,3,0,0.0100,0.0600,-0.1400,-0.1250,0.0625,0.0000
1721017589.16,0,1,3,0,0.0100,0.0600,-0.1200,0.0000,0.0000,0.0000
1721017589.17,0,1,3,0,0.0000,0.0500,-0.1400,0.0625,0.1250,0.0000
1721017589.18,0,1,3,0,0.0100,0.0500,-0.1100,0.0000,0.0625,0.0000
1721017589.19,0,1,3,0,0.0200,0.0500,-0.1200,0.0000,-0.1250,0.0625
1721017589.20,0,1,3,0,0.0000,0.0500,-0.1200,0.0000,-0.0625,0.0000
1721017589.21,0,1,3,0,0.0000,0.0500,-0.1400,0.0000,0.0625,0.0000
1721017589.22,0,1,3,0,0.0100,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017589.23,0,1,3,0,0.0100,0.0500,-0.1300,0.0000,0.0625,0.0625
1721017589.24,0,1,3,0,0.0000,0.0700,-0.1100,0.0000,0.0000,0.0000
1721017589.25,0,1,3,0,0.0100,0.0600,-0.1300,0.0000,0.0000,0.0000
1721017589.26,0,1,3,0,0.0100,0.0600,-0.1400,0.0000,-0.0625,0.0000
1721017589.27,0,1,3,0,0.0100,0.0300,-0.1200,0.1875,0.0625,-0.0625
1721017589.28,0,1,3,0,0.0100,0.0700,-0.1100,0.0000,0.0000,0.0000
1721017589.29,0,1,3,0,0.0200,0.0600,-0.1100,0.0625,0.0000,0.0000
1721017589.30,0,1,3,0,0.0300,0.0400,-0.1200,0.0000,0.0000,0.0000
1721017589.31,0,1,3,0,0.0100,0.0400,-0.1200,0.0000,0.0000,0.0000
1721017589.32,0,1,3,0,0.0100,0.0500,-0.1000,0.1250,0.0625,0.0000
1721017589.33,0,1,3,0,0.0000,0.0700,-0.1200,0.0000,-0.0625,0.0000
1721017589.34,0,1,3,0,0.0100,0.0700,-0.1200,0.0625,0.1250,-0.0625
1721017589.35,0,1,3,0,0.0100,0.0600,-0.1200,0.0000,0.0625,-0.0625
1721017589.36,0,1,3,0,0.0000,0.0600,-0.1100,0.0625,0.0000,0.0000
1721017589.37,0,1,3,0,0.0000,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017589.38,0,1,3,0,0.0100,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017589.39,0,1,3,0,0.0000,0.0500,-0.1400,0.0625,0.0000,0.0000
1721017589.40,0,1,3,0,0.0100,0.0500,-0.1300,0.0000,0.0000,0.0000
1721017589.41,0,1,3,0,0.0100,0.0500,-0.1400,0.0000,0.0000,-0.0625
1721017589.42,0,1,3,0,0.0000,0.0500,-0.1200,-0.0625,0.0000,0.0000
1721017589.43,0,1,3,0,0.0000,0.0700,-0.1100,0.0000,0.1250,0.0000
1721017589.44,0,1,3,0,0.0000,0.0500,-0.1300,0.0000,0.0000,0.0000
1721017589.45,0,1,3,0,0.0000,0.0500,-0.1500,0.0000,-0.0625,0.0000
1721017589.46,0,1,3,0,0.0100,0.0500,-0.1300,0.0000,0.1250,0.0000
1721017589.47,0,1,3,0,-0.0100,0.0400,-0.1400,0.0000,0.0000,0.0000
1721017589.48,0,1,3,0,0.0100,0.0600,-0.1100,0.0000,-0.1250,0.0000
1721017589.49,0,1,3,0,0.0100,0.0400,-0.1400,0.0000,-0.1250,0.0000
1721017589.50,0,1,3,0,0.0000,0.0600,-0.1500,0.0000,0.0000,0.0000
1721017589.51,0,1,3,0,0.0100,0.0700,-0.1500,0.0000,0.0000,0.0000
1721017589.52,0,1,3,0,0.0100,0.0700,-0.1100,-0.0625,-0.1875,0.0000
1721017589.53,0,1,3,0,0.0100,0.0500,-0.1100,0.0000,0.1250,0.0000
1721017589.54,0,1,3,0,0.0000,0.0400,-0.1100,-0.1250,-0.0625,0.0000
1721017589.55,0,1,3,0,0.0200,0.0500,-0.1300,0.0000,0.0000,0.0000
1721017589.56,0,1,3,0,0.0000,0.0600,-0.1100,-0.0625,0.0000,0.0000
1721017589.57,0,1,3,0,0.0000,0.0600,-0.1200,0.0000,0.0000,0.0000
1721017589.58,0,1,3,0,0.0200,0.0500,-0.1200,0.0000,-0.0625,0.0000
1721017589.59,0,1,3,0,0.0000,0.0500,-0.1300,0.0000,0.0000,0.0000
1721017589.60,0,1,3,0,0.0100,0.0400,-0.1400,0.0000,-0.0625,0.0000
1721017589.61,0,1,3,0,0.0000,0.0500,-0.1100,0.0000,-0.1250,0.0000
1721017589.62,0,1,3,0,0.0100,0.0500,-0.1100,0.0000,0.0000,0.0000
1721017589.63,0,1,3,0,0.0000,0.0600,-0.1200,-0.0625,0.0000,0.0000
1721017589.64,0,1,3,0,0.0100,0.0600,-0.1100,0.0000,0.0000,0.0625
1721017589.65,0,1,3,0,0.0000,0.0700,-0.1300,0.0000,0.0625,0.0000
1721017589.66,0,1,3,0,0.0000,0.0600,-0.1100,0.0000,0.0000,0.0000
1721017589.67,0,1,3,0,0.0000,0.0700,-0.1300,0.0000,-0.1250,0.0000
1721017589.68,0,1,3,0,0.0100,0.0500,-0.1200,0.0000,0.0000,0.0000
1721017589.69,0,1,3,0,0.0000,0.0600,-0.1200,-0.0625,0.0625,0.0000
1721017589.70,0,1,3,0,0.0100,0.0600,-0.1100,0.0000,0.0000,0.0000
